"MWS_SAW_BATCH_ID";"MX_Y";"MX_LOCAL_WARP__X_Y_RAW";"MX_LOCAL_WARP__X_Y_SMOOTH"
"MWS325853";-120.0;-1.1245286809073556;-1.0563686354464505
"MWS325853";-118.0;-1.0258951454692415;-0.9897521529753928
"MWS325853";-116.0;-0.8836767150296105;-0.9183022617816476
"MWS325853";-114.0;-0.7547943898042042;-0.8427500853240725
"MWS325853";-112.0;-0.6875094544887542;-0.7653558436394654
"MWS325853";-110.0;-0.5824798679351807;-0.6880390018589143
"MWS325853";-108.0;-0.4972607597377566;-0.612509619708043
"MWS325853";-106.0;-0.4934491717815399;-0.5399174244835316
"MWS325853";-104.0;-0.4798955689174961;-0.46978095884526505
"MWS325853";-102.0;-0.35793763366010456;-0.40106621330670933
"MWS325853";-100.0;-0.2277235778391413;-0.33351630937076737
"MWS325853";-98.0;-0.19779425404383802;-0.26800295836987614
"MWS325853";-96.0;-0.1616593753463692;-0.20479423665420968
"MWS325853";-94.0;-0.12228325696662067;-0.14286630220679986
"MWS325853";-92.0;-0.08157515791193065;-0.08090903659706895
"MWS325853";-90.0;-0.05352507724659517;-0.017779950127103514
"MWS325853";-88.0;0.032585864125236806;0.047279576155776964
"MWS325853";-86.0;0.12671252952940346;0.1141524934208193
"MWS325853";-84.0;0.1790402909293254;0.18167945385738848
"MWS325853";-82.0;0.3050184804677135;0.24859690576397134
"MWS325853";-80.0;0.399304018550449;0.31383863628136144
"MWS325853";-78.0;0.43915828701522613;0.3768159127077778
"MWS325853";-76.0;0.49534886105193027;0.43778261479478386
"MWS325853";-74.0;0.5811032116200981;0.49682496264920684
"MWS325853";-72.0;0.6878479749626584;0.553057158165627
"MWS325853";-70.0;0.6980288397272428;0.6050449542203693
"MWS325853";-68.0;0.7025115581353506;0.6520692791182602
"MWS325853";-66.0;0.7376037949985926;0.6945572336955175
"MWS325853";-64.0;0.7253448806206386;0.7330893230431119
"MWS325853";-62.0;0.745461586912473;0.7688146408984227
"MWS325853";-60.0;0.7959538044283787;0.803371852862985
"MWS325853";-58.0;0.9043737707038721;0.8373469265152498
"MWS325853";-56.0;0.9392233083040143;0.8695964410598397
"MWS325853";-54.0;0.935593001752471;0.898624231082047
"MWS325853";-52.0;0.9572878939560567;0.9241271098100315
"MWS325853";-50.0;0.9568717392120096;0.9467112573712433
"MWS325853";-48.0;0.9578742055077518;0.9671356307022154
"MWS325853";-46.0;0.9718850611729754;0.9852756269165812
"MWS325853";-44.0;1.0869051711499276;1.000498535515852
"MWS325853";-42.0;1.1370278143696486;1.011446234114227
"MWS325853";-40.0;1.1250528068343797;1.016677774973521
"MWS325853";-38.0;1.0920282163295068;1.0161130353239742
"MWS325853";-36.0;1.0163138891425398;1.0108253866314123
"MWS325853";-34.0;0.9518843994537989;1.0027621037501044
"MWS325853";-32.0;0.9811799720260832;0.993314194963285
"MWS325853";-30.0;1.0293076335721547;0.9824263172444784
"MWS325853";-28.0;0.9427684346834818;0.9692058122176791
"MWS325853";-26.0;0.8932172225250138;0.9538276985573668
"MWS325853";-24.0;0.9063725663224856;0.9374460597927279
"MWS325853";-22.0;0.9274553893672095;0.9212919555905573
"MWS325853";-20.0;0.8960343599319458;0.9063630947499547
"MWS325853";-18.0;0.893218302660518;0.892803108719572
"MWS325853";-16.0;0.9247419915265507;0.8803268730602722
"MWS325853";-14.0;0.8599130945073234;0.8681670589689615
"MWS325853";-12.0;0.8253409663463631;0.8557940365501926
"MWS325853";-10.0;0.8149491500836381;0.8433881007841885
"MWS325853";-8.0;0.7829353150052742;0.8314570668536988
"MWS325853";-6.0;0.7585717118655642;0.8204433993434667
"MWS325853";-4.0;0.8273245460001959;0.8100720254827842
"MWS325853";-2.0;0.8614470521733166;0.7990748138729417
"MWS325853";0.0;0.7972267872649198;0.7861815378233524
"MWS325853";2.0;0.7809475889726956;0.7712773733840006
"MWS325853";4.0;0.8099152075271641;0.7545023969039333
"MWS325853";6.0;0.7485550104526596;0.7359102197421877
"MWS325853";8.0;0.6823060703277588;0.7163064326185529
"MWS325853";10.0;0.6827669240368739;0.6966901767721555
"MWS325853";12.0;0.7243992219368616;0.6771609525353758
"MWS325853";14.0;0.6510879045062594;0.6567058627854958
"MWS325853";16.0;0.5959472725457615;0.6349814925070231
"MWS325853";18.0;0.5685550801621543;0.6132048661409636
"MWS325853";20.0;0.5231251714626949;0.5927751004957841
"MWS325853";22.0;0.4698085102770063;0.5746312001138394
"MWS325853";24.0;0.5305166521999571;0.5593936205562773
"MWS325853";26.0;0.5994467053479617;0.5465997340944646
"MWS325853";28.0;0.5745276508066389;0.5344181590296327
"MWS325853";30.0;0.532734543416235;0.5214186678986583
"MWS325853";32.0;0.49854018082221346;0.5074277173615578
"MWS325853";34.0;0.45707093947463556;0.4934257609913934
"MWS325853";36.0;0.44065193924638957;0.48067384677861574
"MWS325853";38.0;0.46895331217183006;0.46923273519901504
"MWS325853";40.0;0.512906404286623;0.4580979622592241
"MWS325853";42.0;0.47605074783166246;0.44548042414362915
"MWS325853";44.0;0.4224753997723261;0.42958529234615384
